shop,product_id,handle,title,variant_id,sku
rtp0h2-cv.myshopify.com,10068089700699,hohenberger-adonea-aphrodite-beige-creme,Aphrodite 81197-HTM,51233985921371,2017781
rtp0h2-cv.myshopify.com,10068089733467,hohenberger-adonea-aphrodite-blau,Aphrodite 81198-HTM,51233986085211,2017782
rtp0h2-cv.myshopify.com,10068089831771,hohenberger-adonea-aphrodite-rot,Aphrodite 81199-HTM,51233986380123,2017783
rtp0h2-cv.myshopify.com,10142073389403,borastapeter-alla-tiders-hus-aratorp-rot-4161,Aratorp 4161,51540548616539,2016059
rtp0h2-cv.myshopify.com,10142073487707,borastapeter-alla-tiders-hus-aratorp-blau-4162,Aratorp 4162,51540548682075,2016060
rtp0h2-cv.myshopify.com,10142073618779,borastapeter-alla-tiders-hus-aratorp-grau-4163,Aratorp 4163,51540548780379,2016061
rtp0h2-cv.myshopify.com,10142137090395,borastapeter-nordic-folk-arboretum-2094016,Arboretum 5832,51540704985435,2094016
rtp0h2-cv.myshopify.com,10142137155931,borastapeter-nordic-folk-arboretum-2094017,Arboretum 5833,51540705018203,2094017
rtp0h2-cv.myshopify.com,10142137254235,borastapeter-nordic-folk-arboretum-2094018,Arboretum 5834,51540705083739,2094018
rtp0h2-cv.myshopify.com,10142132207963,borastapeter-graphics-arch-2090792,Arch 4750,51540695155035,2090792
rtp0h2-cv.myshopify.com,10142132404571,borastapeter-graphics-arch-2090793,Arch 4751,51540695351643,2090793
rtp0h2-cv.myshopify.com,10068089995611,hohenberger-adonea-ares-grau,Ares 64299-HTM,51233986740571,2017777
rtp0h2-cv.myshopify.com,10068090093915,hohenberger-adonea-ares-weiss,Ares 64302-HTM,51233987166555,2017767
rtp0h2-cv.myshopify.com,10068090028379,hohenberger-adonea-ares-grau1,Ares 64328-HTM,51233986871643,2017777
rtp0h2-cv.myshopify.com,10068090061147,hohenberger-adonea-ares-kupfer,Ares 64329-HTM,51233987002715,2017778
rtp0h2-cv.myshopify.com,10142027546971,borastapeter-scandinavian-designers-ii-arne-rosa-1782,Arne 1782,51540460110171,2015022
rtp0h2-cv.myshopify.com,10142027612507,borastapeter-scandinavian-designers-ii-arne-grau-1783,Arne 1783,51540460175707,2015023
rtp0h2-cv.myshopify.com,10142027710811,borastapeter-scandinavian-designers-ii-arne-blau-1784,Arne 1784,51540462207323,2015024
rtp0h2-cv.myshopify.com,10142126899547,borastapeter-graphics-arne-jacobsen-trapez-2090766,Arne Jacobsen Trapez 1992,51540685357403,2090766
rtp0h2-cv.myshopify.com,10142126997851,borastapeter-graphics-arne-jacobsen-trapez-2090767,Arne Jacobsen Trapez 1995,51540685455707,2090767
rtp0h2-cv.myshopify.com,10142128505179,borastapeter-graphics-arne-jacobsen-trapez-2090778,Arne Jacobsen Trapez 4736,51540691026267,2090778
rtp0h2-cv.myshopify.com,10142126702939,borastapeter-graphics-arne-jacobsen-ypsilon-2090764,Arne Jacobsen Ypsilon 1990,51540684800347,2090764
rtp0h2-cv.myshopify.com,10142126801243,borastapeter-graphics-arne-jacobsen-ypsilon-2090765,Arne Jacobsen Ypsilon 1991,51540685259099,2090765
rtp0h2-cv.myshopify.com,10142089052507,borastapeter-linen-ash-grey-grau-4321,Ash Grey 4321,51540590035291,2016181
rtp0h2-cv.myshopify.com,10142028169563,borastapeter-scandinavian-designers-ii-aurora-multi-1790,Aurora 1790,51540462600539,2015030
rtp0h2-cv.myshopify.com,10140693496155,brand-mc-kenzie-carnival-fever-balancing-act-hellblau-bmcf003-01a,Balancing Act Blue Sky BMCF003/01A,51531738448219,2077665
rtp0h2-cv.myshopify.com,10140693234011,brand-mc-kenzie-carnival-fever-balancing-act-gruen-bmcf003-01b,Balancing Act Green Sky BMCF003/01B,51531737956699,2077666
rtp0h2-cv.myshopify.com,10140692939099,brand-mc-kenzie-carnival-fever-balancing-act-blau-bmcf003-01c,Balancing Act Nightfall BMCF003/01C,51531737596251,2077667
rtp0h2-cv.myshopify.com,10140692709723,brand-mc-kenzie-carnival-fever-balancing-act-rosa-bmcf003-01d,Balancing Act Sunset BMCF003/01D,51531737235803,2077668
rtp0h2-cv.myshopify.com,10140734194011,brand-mc-kenzie-tropical-daze-banana-leaves-black-white-grau-bmtd001-05a,Banana Leaves Black & White BMTD001/05A,51532063342939,2077189
rtp0h2-cv.myshopify.com,10140734292315,brand-mc-kenzie-tropical-daze-banana-leaves-black-white-grau-bmtd001-06a,Banana Leaves Black & White BMTD001/06A,51532063899995,2077186
rtp0h2-cv.myshopify.com,10140734390619,brand-mc-kenzie-tropical-daze-banana-leaves-blush-pink-gruen-bmtd001-05b,Banana Leaves Blush Pink BMTD001/05B,51532065538395,2077188
rtp0h2-cv.myshopify.com,10140734456155,brand-mc-kenzie-tropical-daze-banana-leaves-blush-pink-gruen-bmtd001-06b,Banana Leaves Blush Pink BMTD001/06B,51532065931611,2077187
