product_id,handle,product_title,variant_id,variant_title,sku
10138601292123,borastapeter-graphics-arch-2090792,Arch 4750,51521381007707,Default Title,2090792
10138601226587,borastapeter-graphics-arch-2090793,Arch 4751,51521380778331,Default Title,2090793
10068089995611,hohenberger-adonea-ares-grau,Ares 64299-HTM,51233986740571,Default Title,2017777
10068090093915,hohenberger-adonea-ares-weiss,Ares 64302-HTM,51233987166555,Default Title,2017767
10068090028379,hohenberger-adonea-ares-grau1,Ares 64328-HTM,51233986871643,Default Title,2017777
10068090061147,hohenberger-adonea-ares-kupfer,Ares 64329-HTM,51233987002715,Default Title,2017778
10138645692763,borastapeter-scandinavian-designers-ii-arne-rosa-1782,Arne 1782,51521666089307,Default Title,2015022
10138645528923,borastapeter-scandinavian-designers-ii-arne-grau-1783,Arne 1783,51521665728859,Default Title,2015023
10138645397851,borastapeter-scandinavian-designers-ii-arne-blau-1784,Arne 1784,51521665565019,Default Title,2015024
10138601390427,borastapeter-graphics-arne-jacobsen-trapez-2090766,Arne Jacobsen Trapez 1992,51521381400923,Default Title,2090766
10138601357659,borastapeter-graphics-arne-jacobsen-trapez-2090767,Arne Jacobsen Trapez 1995,51521381204315,Default Title,2090767
10138601455963,borastapeter-graphics-arne-jacobsen-trapez-2090778,Arne Jacobsen Trapez 4736,51521381531995,Default Title,2090778
10138601619803,borastapeter-graphics-arne-jacobsen-ypsilon-2090764,Arne Jacobsen Ypsilon 1990,51521381859675,Default Title,2090764
10138601488731,borastapeter-graphics-arne-jacobsen-ypsilon-2090765,Arne Jacobsen Ypsilon 1991,51521381564763,Default Title,2090765
10007975952731,arts-club-281,arts club 281,50992121512283,marble matt / 1 lt / stumpfmatt 5%,
10007975952731,arts-club-281,arts club 281,50992121807195,marble matt / 2.5 lt / stumpfmatt 5%,
10007975952731,arts-club-281,arts club 281,50992122102107,marble matt / 5 lt / stumpfmatt 5%,
10007975952731,arts-club-281,arts club 281,50992121479515,marble matt / 0.1 lt musterdose / stumpfmatt 5%,
10007975952731,arts-club-281,arts club 281,50992121577819,plant-based multi-surface paint / 1 lt / stumpfmatt 5%,
10007975952731,arts-club-281,arts club 281,50992121610587,plant-based multi-surface paint / 1 lt / matt 15%,
10007975952731,arts-club-281,arts club 281,50992121643355,plant-based multi-surface paint / 1 lt / glanz 40%,
10007975952731,arts-club-281,arts club 281,50992121676123,plant-based multi-surface paint / 1 lt / hochglanz 85%,
10007975952731,arts-club-281,arts club 281,50995567133019,plant-based multi-surface paint / 2.5 lt / stumpfmatt 5%,
10007975952731,arts-club-281,arts club 281,50995580338523,plant-based multi-surface paint / 2.5 lt / matt 15%,
10007975952731,arts-club-281,arts club 281,50995582173531,plant-based multi-surface paint / 2.5 lt / glanz 40%,
10007975952731,arts-club-281,arts club 281,50995566674267,plant-based multi-surface paint / 2.5 lt / hochglanz 85%,
10007975952731,arts-club-281,arts club 281,50995585974619,plant-based multi-surface paint / 5 lt / stumpfmatt 5%,
10007975952731,arts-club-281,arts club 281,50995585778011,plant-based multi-surface paint / 5 lt / matt 15%,
10007975952731,arts-club-281,arts club 281,50995583517019,plant-based multi-surface paint / 5 lt / glanz 40%,
10007975952731,arts-club-281,arts club 281,50992121938267,plant-based multi-surface paint / 5 lt / hochglanz 85%,
